0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:57:56 +0900] "GET /03_javascript/images/cup-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:58:14 +0900] "GET /03_javascript/day03/ex11_DOM.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:58:53 +0900] "GET /03_javascript/day03/ex11_DOM.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:58:53 +0900] "GET /03_javascript/images/cup-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:58:54 +0900] "GET /03_javascript/day03/ex11_DOM.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:58:54 +0900] "GET /03_javascript/day03/ex11_DOM.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:58:54 +0900] "GET /03_javascript/images/cup-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:58:55 +0900] "GET /03_javascript/day03/ex11_DOM.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:58:56 +0900] "GET /03_javascript/day03/ex11_DOM.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:58:56 +0900] "GET /03_javascript/day03/ex11_DOM.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:59:10 +0900] "GET /03_javascript/day03/ex11_DOM.html HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:59:19 +0900] "GET /03_javascript/day03/ex11_DOM.html HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [29/Jun/2023:16:00:56 +0900] "GET /03_javascript/day03/ex11_DOM.html HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [29/Jun/2023:16:00:56 +0900] "GET /03_javascript/images/cup-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:16:00:57 +0900] "GET /03_javascript/images/cup-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:16:08:31 +0900] "GET /03_javascript/day03/ex12_DOM.html HTTP/1.1" 200 866
0:0:0:0:0:0:0:1 - - [29/Jun/2023:16:08:31 +0900] "GET /03_javascript/images/tree-1-thumb.jpg HTTP/1.1" 200 4588
0:0:0:0:0:0:0:1 - - [29/Jun/2023:16:08:31 +0900] "GET /03_javascript/images/tree-2-thumb.jpg HTTP/1.1" 200 4206
0:0:0:0:0:0:0:1 - - [29/Jun/2023:16:08:31 +0900] "GET /03_javascript/images/tree-3-thumb.jpg HTTP/1.1" 200 5558
